air_humidity_100;atm_pressure_main;num_of_resets;piezo_charge;piezo_temperature;chuva
40.0;9414;0;26284;38;0.0
43.0;9404;0;26162;37;0.0
49.0;9401;0;26052;34;0.0
54.0;9402;0;25950;31;0.0
57.0;9405;0;25858;28;0.0
60.0;9408;0;25777;26;0.0
61.0;9412;0;25701;24;0.0
65.0;9417;0;25628;24;0.0
68.0;9418;0;25557;23;0.0
72.0;9420;0;25488;22;0.0
74.0;9417;0;25421;21;0.0
74.0;9413;0;25355;21;0.0
76.0;9409;0;25290;21;0.0
77.0;9402;0;25227;20;0.0
79.0;9394;0;25165;20;0.0
80.0;9391;0;25104;20;0.0
82.0;9387;0;25043;20;0.0
89.0;9394;0;24975;20;0.0
93.0;9417;0;24835;19;1.2
89.0;9408;0;24677;19;2.2
88.0;9417;0;24607;22;0.0
69.0;9416;0;24524;26;0.2
61.0;9412;0;24422;32;0.0
55.0;9404;0;24314;33;0.0
54.0;9404;0;24200;35;0.0
60.0;9404;0;24098;31;0.0
57.0;9406;0;24009;28;0.0
58.0;9418;0;23930;25;0.0
58.0;9425;0;23854;24;0.0
64.0;9428;0;23787;21;0.0
70.0;9435;0;23727;19;0.0
75.0;9438;0;23668;18;0.0
79.0;9434;0;23616;16;0.0
90.0;9440;0;23565;15;0.0
92.0;9437;0;23517;14;0.0
90.0;9433;0;23470;14;0.0
81.0;9430;0;23422;15;0.2
85.0;9434;0;23376;13;0.0
89.0;9433;0;23331;13;0.0
91.0;9441;0;23288;12;0.0
92.0;9449;0;23246;12;0.0
84.0;9457;0;23201;13;0.0
62.0;9458;0;23148;17;0.0
47.0;9460;0;23074;24;0.0
33.0;9459;0;22984;29;0.0
20.0;9456;0;22881;32;0.0
19.0;9451;0;22765;35;0.0
18.0;9441;0;22640;38;0.0
16.0;9432;0;22512;38;0.0
15.0;9425;0;22383;38;0.0
18.0;9418;0;22260;37;0.0
20.0;9417;0;22148;34;0.0
24.0;9422;0;22052;30;0.0
34.0;9425;0;21980;23;0.0
46.0;9428;0;21924;17;0.0
47.0;9428;0;21872;16;0.0
49.0;9432;0;21823;15;0.0
59.0;9430;0;21775;14;0.0
65.0;9432;0;21729;14;0.0
70.0;9433;0;21683;13;0.0
68.0;9435;0;21636;14;0.0
58.0;9436;0;21586;15;0.0
58.0;9441;0;21536;15;0.0
63.0;9448;0;21487;14;0.0
70.0;9455;0;21441;14;0.0
64.0;9468;0;21394;14;0.0
57.0;9473;0;21339;17;0.0
48.0;9476;0;21270;22;0.0
42.0;9473;0;21184;27;0.0
36.0;9470;0;21085;31;0.0
30.0;9467;0;20972;35;0.0
26.0;9460;0;20843;39;0.0
25.0;9450;0;20710;39;0.0
24.0;9441;0;20574;40;0.0
27.0;9436;0;20447;38;0.0
28.0;9435;0;20332;35;0.0
31.0;9436;0;20234;30;0.0
41.0;9444;0;20157;25;0.0
